plot;subplot;year;precip;na;sum_salinity;type
4;C2;2015;392.1;2295.5;1.064;observed
4;C3;2015;392.1;2384.5;1.131;observed
4;C4;2015;392.1;2309.5;1.262;observed
4;C5;2015;392.1;2343.5;1.148;observed
4;C6;2015;392.1;2580.5;1.464;observed
4;D1;2015;392.1;2543.5;1.307;observed
4;D2;2015;392.1;2329.5;1.14;observed
4;D3;2015;392.1;2060.5;1.221;observed
4;D4;2015;392.1;2259.5;1.079;observed
4;D5;2015;392.1;2067;1.09;observed
4;D6;2015;392.1;2126.5;1.43;observed
4;E1;2015;392.1;2165;1.172;observed
4;E2;2015;392.1;2240;1.281;observed
4;E3;2015;392.1;2358.5;1.317;observed
4;E4;2015;392.1;2117;1.205;observed
4;E5;2015;392.1;2074.5;1.186;observed
4;E6;2015;392.1;2014;1.2;observed
4;F1;2015;392.1;2069.5;1.157;observed
4;F2;2015;392.1;2119.5;1.275;observed
4;F3;2015;392.1;2069.5;1.229;observed
4;F4;2015;392.1;2209;1.342;observed
4;F5;2015;392.1;2196;1.416;observed
4;F6;2015;392.1;2297;1.409;observed
5;A1;2015;392.1;3562;1.304;observed
5;A2;2015;392.1;3184;1.342;observed
5;A3;2015;392.1;3221;1.299;observed
5;A4;2015;392.1;2896;1.107;observed
5;A5;2015;392.1;3046;1.26;observed
5;A6;2015;392.1;3182;2.359;observed
5;B1;2015;392.1;3356;1.3;observed
5;B2;2015;392.1;2972.8;1.183;observed
5;B3;2015;392.1;2555;1.145;observed
5;B4;2015;392.1;2821;1.212;observed
5;B5;2015;392.1;3439;1.302;observed
5;B6;2015;392.1;3502;1.556;observed
5;C1;2015;392.1;2963;1.295;observed
5;C2;2015;392.1;2959;1.189;observed
5;C3;2015;392.1;2880;1.266;observed
5;C4;2015;392.1;3481;1.405;observed
5;C5;2015;392.1;3482;1.556;observed
5;C6;2015;392.1;3496;1.43;observed
5;D1;2015;392.1;3116;1.343;observed
5;D2;2015;392.1;2802;1.462;observed
5;D3;2015;392.1;3295;1.457;observed
5;D4;2015;392.1;3428;1.491;observed
5;D5;2015;392.1;3804;1.59;observed
5;D6;2015;392.1;3025;1.779;observed
5;E1;2015;392.1;3383;1.294;observed
5;E2;2015;392.1;2962;1.419;observed
5;E3;2015;392.1;3967;1.395;observed
5;E4;2015;392.1;3536;1.453;observed
5;E5;2015;392.1;3007;1.295;observed
5;E6;2015;392.1;3592;1.423;observed
5;F1;2015;392.1;3262;1.287;observed
5;F2;2015;392.1;3021.1;1.449;observed
5;F3;2015;392.1;3275;1.337;observed
5;F4;2015;392.1;3033;1.272;observed
5;F5;2015;392.1;2925;1.367;observed
5;F6;2015;392.1;3376;1.427;observed
6;A1;2015;392.1;4403;1.507;observed
6;A2;2015;392.1;3475;1.37;observed
6;A3;2015;392.1;4136;1.343;observed
6;A4;2015;392.1;4017;1.512;observed
6;A5;2015;392.1;3207;1.599;observed
6;A6;2015;392.1;3139;1.5;observed
6;B1;2015;392.1;3868;1.399;observed
6;B2;2015;392.1;4227;1.416;observed
6;B3;2015;392.1;3813;1.468;observed
6;B4;2015;392.1;3990;1.685;observed
6;B5;2015;392.1;3907;1.559;observed
6;B6;2015;392.1;3705;1.589;observed
6;C1;2015;392.1;4071;1.415;observed
6;C2;2015;392.1;3890;1.49;observed
6;C3;2015;392.1;4497;1.507;observed
6;C4;2015;392.1;4408;1.499;observed
6;C5;2015;392.1;3791;1.517;observed
6;C6;2015;392.1;3904;1.436;observed
6;D1;2015;392.1;4571;1.613;observed
6;D2;2015;392.1;3731;1.497;observed
6;D3;2015;392.1;4420;1.402;observed
6;D4;2015;392.1;3495;1.519;observed
6;D5;2015;392.1;4101;1.544;observed
6;D6;2015;392.1;3977;1.518;observed
6;E1;2015;392.1;3733;1.647;observed
6;E2;2015;392.1;4540;1.415;observed
6;E3;2015;392.1;4109;1.643;observed
6;E4;2015;392.1;2939;1.509;observed
6;E5;2015;392.1;3873;1.709;observed
6;E6;2015;392.1;2673;1.547;observed
6;F1;2015;392.1;3610;1.395;observed
